"","Month","exceedance_wse_feet","exceedance_flow_cfs","approaching_baseline","approaching_alternative","qFPS_mean","qTurb_mean","qRO_mean","qSpill_mean","meanForebay_pop","meanFPS_pop","meanTurb_pop","meanRO_pop","meanSpill_pop","avgDPS_FPS","avgDPS_PH","avgDPS_RO","avgDPS_Spill"
"1","Sep",1534.48858642578,1275.39404296875,0,0,929.581822661321,1369.76706054437,2.0431658625588,0,0,0,0,0,0,0,0,0,0
"2","Oct",1518.23774965348,1948.36884135585,0.001,0,1440.71306426004,2093.42066060807,57.83243657212,0,0,0,0,0,0,0,0,0,0
"3","Nov",1478.426953125,3414.61755421956,0.019,0,2551.60189549331,3445.71054271541,328.053292262445,2.91129027762914,0,0,0,0,0,0,0,0,0
"4","Dec",1450.16593686996,2286.80412046371,0.011,0,2854.48427472218,2904.47913611762,495.030535505822,52.5847894430055,0,0,0,0,0,0,0,0,0
"5","Jan",1450.10113131615,2341.08902075983,0.459,0,2897.70572077677,2854.98457715567,449.798691140171,58.0951049051393,0,0,0,0,0,0,0,0,0
"6","Feb",1476.29711260114,1050,0.113,0,1733.18665776198,1706.42146619406,291.105547946392,61.0950693596284,0,0,0,0,0,0,0,0,0
"7","Mar",1515.40985304309,1050,0.089,0.06,1547.33784241414,1524.22531742538,0.406824123578791,69.4915889176266,0.00900492844444747,0.0498874155929182,0.000195158739510681,2.37129736625517e-22,0.000912497223123651,0.0488896672810598,0.000103180425579297,1.6104666062922e-22,0.000635422881650181
"8","Apr",1547.79943644206,1342.5,0.145,0.1,1619.14001639187,1683.88652486715,0,69.881441592311,0.015,0.0805339495158672,0.00197117633185556,0,0.00249487415227723,0.0789232705255499,0.00104194424104378,0,0.00174076258068055
"9","May",1563.15304270098,2251.82002701298,0.109,0.16,2162.36443695946,2370.17539157219,0,118.379088260448,0.024,0.127124901356857,0.00389819461698913,0,0.00497690402615362,0.12458240332972,0.00205943094706895,0,0.00348051628898009
"10","Jun",1563.27312011719,1723.31131591797,0.048,0.61,2026.16702931666,2022.54353940122,0,43.5158642468152,0.0915,0.509148693667872,0.00136566266504931,0,0.00798564366707839,0.498965719794515,0.000721521217617443,0,0.00558635702730469
"11","Jul",1557.87574817288,1383.01069887223,0.004,0.05,1353.18115934828,1412.1242298502,0,0,0.0075,0.0421279423815215,0.000372057618478541,0,0,0.041285383533891,0.000196705761055643,0,0
"12","Aug",1546.72570407006,1311.70947265625,0.002,0.02,1054.65973187239,1279.72450507778,0,0,0.00300011317935583,0.0160482269669606,0.000951659853683555,0,0,0.0157272624276214,0.000503142564642496,0,0
